call_id,ticker,date,split,horizon,y_true,y_pred,y_persistence
CRM_2019_Q4_20190304,CRM,2019-03-04,train,30,-4.329459465461476,,-4.150359996784341
CRM_2020_Q1_20190604,CRM,2019-06-04,val,30,-4.020348344433529,,-3.86846250360659
CRM_2020_Q2_20190822,CRM,2019-08-22,val,30,-4.241875316881748,,-4.201304445866296
CRM_2020_Q3_20191203,CRM,2019-12-03,train,30,-4.3104469165473605,,-4.522159607479602
CRM_2020_Q4_20200225,CRM,2020-02-25,train,30,-2.846922415435021,,-4.348692818745502
CRM_2021_Q1_20200528,CRM,2020-05-28,train,30,-3.851471258702024,,-3.622710832576761
CRM_2021_Q2_20200825,CRM,2020-08-25,train,30,-2.944994191951759,,-3.976110059364952
CRM_2021_Q3_20201201,CRM,2020-12-01,train,30,-3.920622570598806,,-3.679052362604669
CRM_2021_Q4_20210225,CRM,2021-02-25,train,30,-3.90908609061809,,-4.146864737928392
CRM_2022_Q1_20210527,CRM,2021-05-27,val,30,-4.242672192004394,,-4.208171826735865
CRM_2022_Q2_20210825,CRM,2021-08-25,train,30,-4.006719963749085,,-4.381698445219593
CRM_2022_Q3_20211130,CRM,2021-11-30,val,30,-3.4866075078605587,,-4.189792720249689
D_2018_Q4_20190201,D,2019-02-01,train,30,-5.144354611164663,,-4.207337282537178
D_2019_Q1_20190503,D,2019-05-03,val,30,-4.438495844554843,,-4.752461055237624
D_2019_Q2_20190731,D,2019-07-31,val,30,-4.533320303034052,,-4.84302109229038
D_2019_Q3_20191101,D,2019-11-01,train,30,-4.924550947795798,,-4.9206800993284725
D_2019_Q4_20200211,D,2020-02-11,val,30,-2.7337564689678504,,-4.953422932546824
D_2020_Q1_20200505,D,2020-05-05,train,30,-4.290983689462036,,-3.124539292278733
D_2020_Q2_20200731,D,2020-07-31,val,30,-4.644041809771793,,-3.7121935366309406
D_2020_Q3_20201105,D,2020-11-05,train,30,-4.296591245468038,,-4.563823880671452
D_2020_Q4_20210212,D,2021-02-12,val,30,-4.2355347893702255,,-4.509981103020647
D_2021_Q1_20210504,D,2021-05-04,train,30,-4.605278374724228,,-4.792382839359755
D_2021_Q2_20210806,D,2021-08-06,val,30,-4.6569370241808405,,-4.588272566742421
D_2021_Q3_20211105,D,2021-11-05,val,30,-4.201022857907292,,-4.342808573969488
DHR_2018_Q4_20190129,DHR,2019-01-29,val,30,-4.01448444981529,,-4.026242833031488
DHR_2019_Q1_20190418,DHR,2019-04-18,train,30,-4.662171258542139,,-4.607507558922541
DHR_2019_Q2_20190718,DHR,2019-07-18,val,30,-4.27707250799275,,-4.814012543592913
DHR_2019_Q3_20191024,DHR,2019-10-24,train,30,-4.375778269761006,,-4.345511945317631
DHR_2019_Q4_20200130,DHR,2020-01-30,train,30,-3.598178369296711,,-4.961915397309529
DHR_2020_Q1_20200507,DHR,2020-05-07,train,30,-4.196533256357894,,-3.544964438450631
DHR_2020_Q2_20200723,DHR,2020-07-23,val,30,-4.47017677920351,,-4.223128386206489
DHR_2020_Q3_20201022,DHR,2020-10-22,val,30,-3.93689552119432,,-4.531706595331948
DHR_2020_Q4_20210128,DHR,2021-01-28,train,30,-3.959944793003432,,-4.172349236928287
DHR_2021_Q1_20210422,DHR,2021-04-22,val,30,-4.21812001280993,,-4.203575462443098
DHR_2021_Q2_20210722,DHR,2021-07-22,train,30,-4.604641872271957,,-4.354288321138289
DHR_2021_Q3_20211021,DHR,2021-10-21,val,30,-4.161799487685926,,-4.409106682216431
DIS_2019_Q1_20190205,DIS,2019-02-05,train,30,-4.65750568488719,,-4.125259123271829
DIS_2019_Q2_20190508,DIS,2019-05-08,train,30,-4.438499749281469,,-3.787433888658586
DIS_2019_Q3_20190806,DIS,2019-08-06,train,30,-4.095962516195251,,-4.678595145443144
DIS_2019_Q4_20191107,DIS,2019-11-07,val,30,-4.070497783170108,,-4.685704187443015
DIS_2020_Q1_20200204,DIS,2020-02-04,val,30,-3.106576923005552,,-4.386055160247456
DIS_2020_Q2_20200505,DIS,2020-05-05,train,30,-3.5353752743366926,,-3.172146874100524
DIS_2020_Q3_20200804,DIS,2020-08-04,train,30,-3.9208106336955386,,-4.213680002486101
DIS_2020_Q4_20201112,DIS,2020-11-12,val,30,-3.52572947848324,,-3.5898931644075427
DIS_2021_Q1_20210211,DIS,2021-02-11,val,30,-3.861690873466879,,-3.938482181219367
DIS_2021_Q2_20210513,DIS,2021-05-13,val,30,-4.6406967433793325,,-4.5860457745811125
DIS_2021_Q3_20210812,DIS,2021-08-12,val,30,-4.299892250395327,,-4.204026657766632
DIS_2021_Q4_20211110,DIS,2021-11-10,train,30,-3.953809230168755,,-4.276662005557933
DLR_2018_Q4_20190205,DLR,2019-02-05,val,30,-4.386362612381159,,-4.072988979867753
DLR_2019_Q1_20190425,DLR,2019-04-25,train,30,-4.516535673950429,,-4.6080927161651655
DLR_2019_Q2_20190730,DLR,2019-07-30,train,30,-4.520693556872983,,-4.320469286322261
DLR_2019_Q3_20191029,DLR,2019-10-29,train,30,-4.456582823005116,,-4.647432604010577
DLR_2019_Q4_20200213,DLR,2020-02-13,train,30,-2.812260755297176,,-4.46342782540864
DLR_2020_Q1_20200507,DLR,2020-05-07,train,30,-3.70370877644438,,-3.487051509805989
DLR_2020_Q2_20200730,DLR,2020-07-30,val,30,-4.102720461338613,,-4.070155893314717
DLR_2020_Q3_20201029,DLR,2020-10-29,train,30,-3.893993775324066,,-4.328012432107479
DLR_2020_Q4_20210211,DLR,2021-02-11,val,30,-4.087335639977884,,-4.195384928516933
DLR_2021_Q1_20210429,DLR,2021-04-29,train,30,-4.441686409859858,,-4.241786585694217
DLR_2021_Q2_20210729,DLR,2021-07-29,val,30,-4.254505777836955,,-4.565008345466956
DLR_2021_Q3_20211027,DLR,2021-10-26,train,30,-4.329463063456845,,-4.19320766217686
DUK_2018_Q4_20190214,DUK,2019-02-14,train,30,-5.087124908085525,,-4.749695212687449
DUK_2019_Q1_20190509,DUK,2019-05-09,train,30,-4.7178584411385085,,-4.858242423955884
DUK_2019_Q2_20190806,DUK,2019-08-06,val,30,-4.936726794226273,,-4.791500008367628
DUK_2019_Q3_20191108,DUK,2019-11-08,val,30,-4.647200468841285,,-4.969581803140078
DUK_2019_Q4_20200213,DUK,2020-02-13,val,30,-2.8354779765009743,,-5.147811281945962
DUK_2020_Q1_20200512,DUK,2020-05-12,train,30,-4.043629758594936,,-3.4668553074447366
DUK_2020_Q2_20200810,DUK,2020-08-10,val,30,-4.479284045904891,,-4.148042222945135
DUK_2020_Q3_20201105,DUK,2020-11-05,val,30,-4.341807423620117,,-4.085733948122455
DUK_2020_Q4_20210211,DUK,2021-02-11,train,30,-4.46561585752338,,-4.411650417555308
DUK_2021_Q1_20210510,DUK,2021-05-10,train,30,-4.409323336988666,,-4.873434281334587
DUK_2021_Q2_20210805,DUK,2021-08-05,train,30,-4.68067416807583,,-4.85838699251104
DUK_2021_Q3_20211104,DUK,2021-11-04,val,30,-4.483490887794548,,-4.736599085186307
EA_2019_Q3_20190205,EA,2019-02-05,train,30,-3.1213404912454243,,-3.66152193529625
EA_2019_Q4_20190507,EA,2019-05-07,val,30,-3.911523565116477,,-4.134579034206669
EA_2020_Q1_20190730,EA,2019-07-30,val,30,-3.856860909895945,,-3.988175788418508
