dataset,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_stage1,dm_p_vs_stage2,dm_p_vs_stage3
fincall,combined,dv,7,stack_fusion_pastvol,test,92,0.4694799474826515,0.569159563477163,-0.41538170736090363,0.2838868215162653,,0.019000491377176666,0.0015307275407403908,0.0118997078313871,0.02540517667157797
fincall,combined,dv,7,stack_fusion_pastvol,val,21,0.20092770753025896,0.3458129903905211,0.6028215080444455,0.5894736842105263,,0.05790595612153622,0.10233985595629155,0.1350029798076692,0.04313011491204536
fincall,combined,dv,15,gated_fusion,test,92,0.32123704232918293,0.45623979793465,-0.7653581039945037,0.08466640739780486,0.09252446476854356,0.0007729726016766504,0.16823549228774465,0.8415817722195877,0.0005765586168116947
fincall,combined,dv,15,gated_fusion,val,21,0.36409389078441967,0.4945793413159257,-0.37732853953099577,0.23909774436090225,0.09252446476854356,0.1783297076498427,0.13941174536119572,0.1596977802365219,0.2824381697894264
fincall,combined,dv,15,gated_fusion_pastvol,test,92,0.31264836746730934,0.4501647737925694,-0.7181590429520812,0.023423416553554274,0.07916422153721316,0.0013552426254761411,0.184558071639921,0.9506284649021336,0.0014344130051549438
fincall,combined,dv,15,gated_fusion_pastvol,val,21,0.20746210895627512,0.35065231986398887,0.2151928643429073,0.3142857142857143,0.07916422153721316,0.2676198176377447,0.9117893286248483,0.9348112830640766,0.25338017846355837
fincall,combined,dv,15,stack_fusion,test,92,0.32234033057933137,0.47634104743961914,-0.7714212243598244,0.27009092203124446,,0.00011359966180244518,0.04119521111596311,0.6944988535615997,0.00011269943462990866
fincall,combined,dv,15,stack_fusion,val,21,0.11059766639974297,0.26528157515504813,0.5816207681768311,0.3954887218045112,,0.032805678117747504,0.08864332409024159,0.013240125463851426,0.03062428453423464
fincall,combined,dv,15,stack_fusion_pastvol,test,92,0.32234033057933137,0.47634104743961914,-0.7714212243598244,0.27009092203124446,,0.00011359966180244518,0.04119521111596311,0.6944988535615997,0.00011269943462990866
fincall,combined,dv,15,stack_fusion_pastvol,val,21,0.11059766639974297,0.26528157515504813,0.5816207681768311,0.3954887218045112,,0.032805678117747504,0.08864332409024159,0.013240125463851426,0.03062428453423464
fincall,combined,dv,30,gated_fusion,test,92,0.30748628937304656,0.44243645422170613,-1.8716952199706967,0.06846934781171998,0.10099374560383033,8.602816052565849e-06,0.026017758291729975,4.402145832112835e-05,5.450894767593011e-06
fincall,combined,dv,30,gated_fusion,val,21,0.16213031549869444,0.3081044946927494,-1.3912046805116058,0.26165413533834586,0.10099374560383033,0.028551405384400267,0.9246038158794218,0.03209173487485417,0.14761830375539325
fincall,combined,dv,30,gated_fusion_pastvol,test,92,0.2773272251356547,0.4418790358310015,-1.59003179755958,-0.010922463359209385,0.08285140191967527,6.350265837901101e-07,0.0178969099633346,4.919787158633797e-06,1.1835868658744657e-06
fincall,combined,dv,30,gated_fusion_pastvol,val,21,0.1398771602640169,0.27441851052474786,-1.0630004900143586,0.3278195488721804,0.08285140191967527,0.10861505920509568,0.7878333234797524,0.22410985181194035,0.3121482448220241
